mod_reg,mod_num,Depth_fct,cor_mn,cor_sd,bias_mn,bias_sd,per_bias_mn,per_bias_sd,rmse_mn,rmse_sd,mae_mn,mae_sd,mape_mn,mape_sd
AI,8,50,0.5719280918648401,0.2043405970102312,0.07622120366356454,0.33265650441561495,0.006003309048396684,0.042037856178539376,0.8449783104821788,0.3739259114670654,0.5603266774555001,0.1500565325579665,0.06904127790241711,0.019547374645456216
AI,8,60,0.554956710564768,0.2281315822410505,0.08142865400337727,0.3441440636425506,0.00690307587690495,0.04550808258740073,0.8347888865192916,0.41186242055983924,0.5565906971653085,0.1700048742218919,0.07046922801660106,0.0235290861624599
AI,8,70,0.5306427778913483,0.2503598744233351,0.08110441681303945,0.3652199797631499,0.006858386132439246,0.04998401342950163,0.8409226749718157,0.44117494254021694,0.5651214627055804,0.18541087818831295,0.07315347253793018,0.02693007000720769
AI,8,80,0.4983884918124672,0.2604242959934769,0.07972473432100032,0.3944787917712455,0.006499173141002762,0.055181189483080643,0.8642162768297224,0.4707712884410519,0.5838272259768751,0.2064786477698336,0.07677184926069464,0.03078405207849058
AI,8,90,0.4782742340366001,0.27423765003151673,0.08074000832455865,0.4432964035831034,0.006370734920730304,0.06292820735832243,0.8845171971073642,0.5194665243243239,0.6033268252296319,0.24616941892585933,0.0804983998757916,0.037264948263311
AI,8,100,0.4560396302970675,0.28840964876631453,0.07934745239890424,0.4590962467096814,0.006035768420568233,0.06599112919646229,0.8929801260830329,0.5393970607744145,0.6127412517424533,0.26434645867701256,0.08260775207919867,0.040487861080749685
AI,8,125,0.43024778834169747,0.26937272920822053,0.09894326172712226,0.41647844775887666,0.00967686913234661,0.058818230995847716,0.8713611495960162,0.478866207318558,0.5988232638628606,0.2306286132943743,0.08130477049430931,0.03348469744814439
AI,8,150,0.4124070249702463,0.2500660217176495,0.10385295668023108,0.4387149726389457,0.010992242549423365,0.061657800255370966,0.896783821190962,0.5024702413018591,0.6190583061168383,0.24438898237009435,0.08449232503101081,0.03525955333027051
AI,8,200,0.36251326200481393,0.21767355302258362,0.12161732551177219,0.43021160683738174,0.014319355243440107,0.05998783975693325,0.9011503428163452,0.5491407166277791,0.6239350887014512,0.26315342602120273,0.08559832904643173,0.03776966366235425
AI,8,250,0.7406450594048583,0.14525884660022892,0.018842946234000655,0.08715881916617031,7.629824642289948e-4,0.012065973623321777,0.28375997727048236,0.059956696862181066,0.22266056158205902,0.04802957412805395,0.030626036996126954,0.006230709521665138
AI,8,300,0.7546459830472425,0.12411293466210643,0.0013601576890624719,0.03692606111431872,-6.812130113755827e-4,0.0052239228904838115,0.21085903035369927,0.06590855176589192,0.16864988401278871,0.05173707982737834,0.023570392739421797,0.006890890534693443
AI,8,350,0.6593410418598058,0.10362942940125548,0.01325195708312277,0.06736268573422488,0.0014294800718857915,0.009638856869709075,0.19709400900579782,0.0819821679158706,0.15656616634070658,0.06589574481026576,0.022213509696065843,0.00914756980580793
AI,8,400,0.5448119707623631,0.244964256373692,-0.01627219434095255,0.10660193584116077,-0.0025546171145658905,0.015265593106746547,0.2221677825876455,0.07729424794714818,0.18250744548172984,0.06983277619380272,0.026250420998504363,0.009664490454206382
AI,8,500,0.6217773715139618,0.37403890280409413,-0.08326253779882876,0.18884801106358776,-0.012002660120633392,0.027737790966750036,0.20640743805648518,0.1097486440714907,0.18892728394032973,0.10688682678821884,0.027680355821764327,0.015574410920931096
AI,8,600+,0.7910968791176614,0.20211247941224392,-0.0957964948578326,0.1407192210170961,-0.01468898158888445,0.021754745503456494,0.19661974560871362,0.07184841770630641,0.17281044116454133,0.07346022551812756,0.026858251343966605,0.011383254880438556
AI,8,NA,0.6452481444804296,0.1544379498324663,0.05262016746898677,0.39278832764586014,0.001337398821994853,0.04526926779667051,0.957644940049085,0.29367633971647183,0.6654873403606275,0.1392429133110597,0.07668333257121496,0.015513700614389022
